Parameter,Value,Unit,DUT_ID,Spec_Min,Spec_Max,Test_Condition
Leakage_Current,2.470308,uA,DUT_006,,10.0,Flow2_Nominal
Leakage_Current,2.280984,uA,DUT_007,,10.0,Flow2_Nominal
Leakage_Current,2.418605,uA,DUT_008,,10.0,Flow2_Nominal
Leakage_Current,4.48613,uA,DUT_009,,10.0,Flow2_Nominal
Leakage_Current,2.447539,uA,DUT_010,,10.0,Flow2_Nominal
Leakage_Current,4.224437,uA,DUT_011,,10.0,Flow2_Nominal
Leakage_Current,8.688502,uA,DUT_012,,10.0,Flow2_Nominal
Leakage_Current,5.677812,uA,DUT_013,,10.0,Flow2_Nominal
Leakage_Current,2.684941,uA,DUT_014,,10.0,Flow2_Nominal
Leakage_Current,6.503035,uA,DUT_015,,10.0,Flow2_Nominal
Leakage_Current,2.479812,uA,DUT_016,,10.0,Flow2_Nominal
Leakage_Current,-1.595311,uA,DUT_017,,10.0,Flow2_Nominal
Leakage_Current,0.979784,uA,DUT_018,,10.0,Flow2_Nominal
Leakage_Current,-1.17698,uA,DUT_019,,10.0,Flow2_Nominal
Leakage_Current,2.621216,uA,DUT_020,,10.0,Flow2_Nominal
Leakage_Current,3.546046,uA,DUT_021,,10.0,Flow2_Nominal
Leakage_Current,7.691093,uA,DUT_022,,10.0,Flow2_Nominal
Leakage_Current,4.317318,uA,DUT_023,,10.0,Flow2_Nominal
Leakage_Current,2.952249,uA,DUT_024,,10.0,Flow2_Nominal
Leakage_Current,5.573514,uA,DUT_025,,10.0,Flow2_Nominal
Capacitance,2.146638,pF,DUT_001,,8.0,Flow2_Nominal
Capacitance,5.082737,pF,DUT_002,,8.0,Flow2_Nominal
Capacitance,5.725038,pF,DUT_003,,8.0,Flow2_Nominal
Capacitance,3.025697,pF,DUT_004,,8.0,Flow2_Nominal
Capacitance,6.172505,pF,DUT_005,,8.0,Flow2_Nominal
Capacitance,5.206196,pF,DUT_006,,8.0,Flow2_Nominal
Capacitance,4.301655,pF,DUT_007,,8.0,Flow2_Nominal
Capacitance,5.559338,pF,DUT_008,,8.0,Flow2_Nominal
Capacitance,7.524831,pF,DUT_009,,8.0,Flow2_Nominal
Capacitance,5.01824,pF,DUT_010,,8.0,Flow2_Nominal
Capacitance,5.097865,pF,DUT_011,,8.0,Flow2_Nominal
Capacitance,4.248767,pF,DUT_012,,8.0,Flow2_Nominal
Capacitance,3.780187,pF,DUT_013,,8.0,Flow2_Nominal
Capacitance,5.796403,pF,DUT_014,,8.0,Flow2_Nominal
Capacitance,3.772699,pF,DUT_015,,8.0,Flow2_Nominal
Capacitance,4.885879,pF,DUT_016,,8.0,Flow2_Nominal
Capacitance,4.226811,pF,DUT_017,,8.0,Flow2_Nominal
Capacitance,5.374776,pF,DUT_018,,8.0,Flow2_Nominal
Capacitance,5.200395,pF,DUT_019,,8.0,Flow2_Nominal
Capacitance,6.045048,pF,DUT_020,,8.0,Flow2_Nominal
Capacitance,4.18798,pF,DUT_021,,8.0,Flow2_Nominal
Capacitance,4.47615,pF,DUT_022,,8.0,Flow2_Nominal
Capacitance,3.625484,pF,DUT_023,,8.0,Flow2_Nominal
Capacitance,4.266848,pF,DUT_024,,8.0,Flow2_Nominal
Capacitance,5.252761,pF,DUT_025,,8.0,Flow2_Nominal
